OBJECTID,TRAIL_ID,TRAIL_NAME,TRAIL_CLSS,SURF_MAT,ENGINEERED,WIDTH,FENCED,WHEEL_ACC,CONDITION,INST_YEAR,INST_DATE,LIGHT,OWNER,MAINT,STATUS,COMMENTS,ADDDATE,MODDATE,SOURCE,SACC,FCODE,CODE,WALKING,HIKING,BIKING,ATV,SNOWMOBILE,SEASON,COLLECTED,UPDATED,TCT,RAIL,NATURE,ET_SOURCE,SECT_NAME,ASSOCN,DATASOURCE,OFFICIAL,NAME_APP,PLOW,GLOBALID,LEN,SHAPE_Length
105020,2021.0,UNKNOWN NAME,SECONDARY,CRDS, ,1.6,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{B9574C33-E637-4891-9A81-454B982D5427},111.956827885649,0.0007510037210104
105021,2022.0,UNKNOWN NAME,SECONDARY,ASPH, ,3.1,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{383FD620-9C9A-4666-B8CA-B28BD6C5F40D},65.5755301110992,0.0005719667137311
105027,2013.0,UNKNOWN NAME,SECONDARY,CRDS, ,2.0,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{2A646474-0351-4639-ABC0-5D935C38253D},141.747295533489,0.0011114123604596
105035,2025.0,UNKNOWN NAME,SECONDARY,ASPH, ,2.3,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE,to floating dock,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{18E54055-5CCE-461E-B173-AA3C4004CC83},15.0402286772181,0.0001257449062663
105036,2027.0,UNKNOWN NAME,SECONDARY,ASPH, ,2.2,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{B78FCB36-A5AA-4AA8-A536-3DFA1E54394E},54.9040849065297,0.0004913367817928
105042,2033.0,SHUBIE CANAL GREENWAY,AT_GW,ASPH, ,3.5,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{A1748DE8-CFB2-431D-B8CB-41F1E97A68AD},245.131141210128,0.0016726530865683
105043,2034.0,SHUBIE CANAL GREENWAY,AT_GW,CRDS, ,3.5,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{659199DC-171E-4BBC-9900-95AE21F42E59},13.7687791479605,0.0001007755425165
105046,2039.0,UNKNOWN NAME,SECONDARY,CRDS, ,2.0,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{D47623D6-72B6-4D91-9342-8DB0F41DCD5B},51.0561213747412,0.0003970822071224
105047,2040.0,UNKNOWN NAME,SECONDARY,ASPH, ,2.3,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE,to floating dock,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{CD1BE162-6BAE-46C9-B7E0-143C17D23587},26.5454129586389,0.0002375546456033
105048,2042.0,UNKNOWN NAME,SECONDARY,CRDS, ,2.0,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{639B0ED0-3949-46BF-8F1F-C33334E5CEC4},28.4938047617608,0.0002211122802405
105070,1968.0,UNKNOWN NAME,SECONDARY,ASPH, ,2.9,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{338F0EC5-3080-487A-BD19-734B8D871871},65.8907187272358,0.0005455135574462
105200,2015.0,UNKNOWN NAME,SECONDARY,ASPH, ,1.5,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{9B7D616F-F9B2-4658-9851-8105D77FA596},10.0879686276482,7.16584965797789e-05
105202,1717.0,HENRY FINLAY PARK WALKWAY,SECONDARY,ASPH, ,3.4,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{ACCCA790-EF27-4058-B5F1-2617DFD934D4},79.6723917972247,0.0005550021208531
105215,3738.0,BURNSIDE AT GREENWAY,AT_GW,ASPH,Y,,N,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,,2012/09/12 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,{ABFB4FEE-25AC-4226-904D-52ACDCA950B9},145.937013901079,0.0009471921533242
105305,2310.0,BEDFORD SACKVILLE CONNECTOR AT GREENWAY,AT_GW,CRDS, ,1.2,N,,GOOD,2004.0,,N,HRM,UN,ACTIVE,areas sides  overgrown- shop ctr propert,,,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,N,N,,HRTAT,,SACKVILLE RIVERS ASSOCIATION,TPW_TRAILS,,,,{6EAEF552-9BC9-44D2-BBDD-C2862CCDEAB3},194.573046481885,0.0013421368646201
105306,2311.0,BEDFORD SACKVILLE CONNECTOR AT GREENWAY,AT_GW,CRDS, ,1.5,N,,GOOD,2004.0,,N,,UN,ACTIVE,partially shop ctr property,,,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,N,N,,HRTAT,,SACKVILLE RIVERS ASSOCIATION,TPW_TRAILS,,,,{0775C16B-8572-484A-9048-3FFC9D118513},373.687787060165,0.0026345494552598
105307,2312.0,BEDFORD SACKVILLE CONNECTOR AT GREENWAY,AT_GW,CRDS, ,1.2,N,,GOOD,2004.0,,N,,UN,ACTIVE,partially on shop ctr property,,,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,N,N,,HRTAT,,SACKVILLE RIVERS ASSOCIATION,TPW_TRAILS,,,,{C065F670-2817-4DCF-B309-E6C26FC2EB9A},148.307907974596,0.0011674891709612
105308,2313.0,BEDFORD SACKVILLE CONNECTOR AT GREENWAY,AT_GW,WOOD,Y,1.85,Y,,GOOD,2004.0,,N,HRM,HRM,ACTIVE,bridge -see bridge layer,,,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,N,N,,HRTAT,,SACKVILLE RIVERS ASSOCIATION,TPW_TRAILS,,,,{A486E692-5A18-48E1-9CBA-AE7B2607D1A0},60.4526073891441,0.0003857460937998
105327,3739.0,BURNSIDE AT GREENWAY,AT_GW,ASPH,Y,,N,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,,2012/09/12 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,{AFBD1636-DDF3-4FE4-BF1D-B17AC4F222AB},20.2674584285989,0.0001432384692063
105329,3740.0,BURNSIDE AT GREENWAY,AT_GW,ASPH,Y,,N,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,,2012/09/12 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,{0FC39514-3070-46CF-B3C3-5267CAB5B169},958.921668757547,0.0064276184276882
105423,2232.0,UNKNOWN NAME, ,ASPH, ,2.0,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{961CA4C0-49DF-4A4D-8136-2D11D44FA45D},85.2073858976317,0.0006767266252789
105424,2234.0,UNKNOWN NAME, ,ASPH, ,2.0,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{89F60F14-DADD-49B5-BEB0-8E4CA989A8B2},24.9000698645115,0.0002209527585361
105426,2238.0,CANNON TERRACE PARK WALKWAY,PRIMARY,ASPH, ,2.0,Y,,GOOD,2009.0,,N,HRM,HRM,ACTIVE,new park/playground,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{36F5547C-D58B-4E94-BF4F-A804D617D841},123.350106120946,0.0009133550366146
105429,2592.0,MCINTOSH RUN AT GREENWAY,AT_GW,GRAV,N,1.5,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{6A6AF9EA-E8BD-4508-9078-27AE76908195},33.3924162833211,0.0002268012631072
105430,2593.0,MCINTOSH RUN AT GREENWAY,AT_GW,CONC,N,1.5,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{F2297EFB-9344-4930-847C-6F131B7CFD1C},9.45656587953886,7.66960498376335e-05
105431,2594.0,MCINTOSH RUN AT GREENWAY,AT_GW,CRDS,N,2.2,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{4FDE7E2A-6F35-4E36-B835-38879BF107B0},22.6320814109514,0.0001828164505683
105432,2596.0,MCINTOSH RUN AT GREENWAY,AT_GW,CRDS,N,2.0,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,HRT,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{BC77FEA6-683A-429F-871F-A4EC8CEBFE48},13.1738773985313,0.0001056414037789
105433,2597.0,MCINTOSH RUN AT GREENWAY,AT_GW,ASPH,N,1.8,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE,sides overgrown,,,,,,,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{B29B7841-04A6-47E5-B1FC-DAE25FFA68DB},28.7431693506289,0.0002141963740081
105465,2599.0,MCINTOSH RUN AT GREENWAY,AT_GW,CRDS,N,3.0,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,HRT,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{704AE5E1-8FB4-48AB-A9EC-97F21BDB8A2D},486.306833440767,0.004073970855504
105468,2602.0,MCINTOSH RUN AT GREENWAY,AT_GW,CONC,N,1.5,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{7F54759C-8127-4C6D-9427-037EFAF2499A},25.3466721078686,0.0001731084024522
105483,2239.0,UNKNOWN NAME, ,ASPH, ,2.0,Y,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{2E484B78-5ACB-4050-90F1-FE5250451747},64.3662174994836,0.0004824186467723
105520,2603.0,MCINTOSH RUN AT GREENWAY,AT_GW,ASPH,N,3.0,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{FF2D9275-2FB7-4137-9676-6B57AC013971},136.523626061654,0.0011319595980684
105521,2604.0,MCINTOSH RUN AT GREENWAY,AT_GW,ASPH,N,3.0,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{8D541367-9D80-4C56-97E6-80A44F01444D},62.8923384198183,0.0005148283436522
105522,2605.0,MCINTOSH RUN AT GREENWAY,AT_GW,CRDS,N,2.4,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{423A62C5-9E37-4343-8032-0DE5E9317C2F},143.672499895113,0.0011843733043003
105523,2606.0,MCINTOSH RUN AT GREENWAY,AT_GW,ASPH,N,1.8,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,EXNS,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{6151C682-2F49-45C5-AD57-E3829BF0DA43},47.1317145136013,0.000405040066107
105525,2609.0,MCINTOSH RUN AT GREENWAY,AT_GW,NATU,N,2.5,N,,MARGINAL,2011.0,,N,HRM,HRM,ACTIVE,"exposed rock,rough sections,puddling",,,,,,EXNS,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{8A282A72-230C-453D-BC75-80DAEBB0EA45},738.385164064759,0.0052866682006071
105526,2611.0,MCINTOSH RUN AT GREENWAY,AT_GW,CRDS,N,3.0,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,HRT,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{75723FC1-C5E6-4631-8C3C-9F99EC0A3224},273.921055008564,0.0018930817540628
105663,2615.0,MCINTOSH RUN AT GREENWAY,AT_GW,GRAV,N,2.0,N,,MARGINAL,2011.0,,N,HRM,HRM,ACTIVE,exposed rock,,,,,,EXNS,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{984CAB35-771D-4031-BE89-94FF4530B613},485.007982928071,0.0032707676244687
105668,2621.0,MCINTOSH RUN AT GREENWAY,AT_GW,NATU,N,2.2,N,,MARGINAL,2011.0,,N,HRM,HRM,ACTIVE,"exposed rock, avg width",,,,,RRRDTR,EXNS,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{A11531F6-F935-4F1A-B310-A5062BE58E96},846.350845270188,0.0065631900797935
105783,865.0,UNKNOWN NAME,PRIMARY,CRDS,N,1.5,N,,GOOD,2007.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{922CCA47-D51F-4B98-B2CB-6A52E7FD9D9E},84.9174976775613,0.0005731748008932
105784,4058.0,UNKNOWN NAME,,ASPH,,2.0,N,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,,2012/11/02 00:00:00+00,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,{1F826912-63B1-4671-83E9-4C564E1F0D7B},53.2584763112466,0.0003990579535629
105788,867.0,FRESHWATER TRAIL PARK WALKWAY,SECONDARY,CRDS,N,2.0,N,,GOOD,2007.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{AE6FFB19-AA01-48EB-9A51-D209E00D88B7},29.8419449665714,0.0002471392460125
105790,872.0,UNKNOWN NAME,SECONDARY,CRDS,N,1.8,N,,GOOD,2007.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{C631755A-E739-49AE-883C-F965C6BC2184},100.08183577232,0.0008206152497138
105798,4380.0,UNKNOWN NAME,,CRDS,N,1.52,,,GOOD,2013.0,,,HRM,HRM,ACTIVE,,2013/09/16 00:00:00+00,,PLAN,,,,Y,Y,,,,,,,,,,,,,,,,,{9E467C01-FC66-433B-8521-C25177C157C7},79.4624269121308,0.0005970531918456
105799,4381.0,UNKNOWN NAME,,CRDS,N,1.52,,,GOOD,2013.0,,,HRM,HRM,ACTIVE,,2013/09/16 00:00:00+00,,PLAN,,,,Y,Y,,,,,,,,,,,,,,,,,{E1860027-7417-4EDB-BECE-D3942E665F58},122.72408209905,0.0010058070932975
105800,4382.0,UNKNOWN NAME,,CRDS,N,1.52,,,GOOD,2013.0,,,HRM,HRM,ACTIVE,,2013/09/16 00:00:00+00,,PLAN,,,,Y,Y,,,,,,,,,,,,,,,,,{F02391F3-F101-4BFF-8846-6D5D8AEC2622},366.06609090954,0.0028800896465633
105801,4385.0,UNKNOWN NAME,,CRDS,N,1.52,,,GOOD,2013.0,,,HRM,HRM,ACTIVE,,2013/09/16 00:00:00+00,,PLAN,,,,Y,Y,,,,,,,,,,,,,,,,,{750A5279-26FB-42EC-BB8F-DB4A7CA331B4},426.98890044191,0.003273458276144
105809,891.0,PORTLAND LAKES AT GREENWAY,AT_GW,OTHR,N,1.5,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE,Access Pebblecreel Cres-Water,,2016/02/05 00:00:00+00,,,,,,,,,,,,,,,Y,Dr Hugh Millward,,Portland Estates & Hills Residents Association,TPW_TRAILS,,,,{3E8F21F7-8CF5-40C7-BB8B-0099E2F925C4},203.592702654439,0.0014614392156196
105861,2595.0,MCINTOSH RUN AT GREENWAY,AT_GW,CRDS,N,2.7,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE,vehicle access restricted by boulders,,,,,,HRT,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{6ACE0997-8398-4062-8C49-F7A69A849EFB},148.783874253872,0.0013262341963928
105862,3144.0,MCINTOSH RUN AT GREENWAY,AT_GW,CRDS,N,3.0,N,,GOOD,2011.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,N,N,Y,,,,TPW_TRAILS,,,,{F308096C-241E-4359-93CF-8A096D29F380},208.801269803773,0.0017285402490835
105868,860.0,PORTLAND LAKES AT GREENWAY,AT_GW_PRI,GRAV,N,1.0,N,,GOOD,2010.0,,N,HRM,HRM,ACTIVE,Access to parking lot ,,2016/02/05 00:00:00+00,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,N,Y,Y,Dr Hugh Millward,,Portland Estates & Hills Residents Association,TPW_TRAILS,,,,{71E5FC40-63B3-483A-A87F-68546DA3991F},50.5032119959427,0.0004400431933455
105921,1008.0,LAKE BANOOK TRAIL ,PRIMARY,ASPH,N,3.0,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,2015/12/16 00:00:00+00,PICTOMETRY,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,Y,N,Y,,,,TPW_TRAILS,,,,{0C54E9F5-E13F-416F-A70E-61CA304E0475},753.482921346287,0.006066450286117
105924,1416.0,GLEN SLAUENWHITE TRAIL,AT_GW,CRDS,N,3.0,N,,GOOD,2012.0,,N,HRM,HRM,ACTIVE, ,,2014/02/21 00:00:00+00,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,,N,Y,,,FRIENDS OF FIRST LAKE SOCIETY,TPW_TRAILS,C,2013/07/23 00:00:00+00,,{32708C21-7B56-4E91-9277-0480F45B20B3},1266.54069247301,0.0092828751757797
105925,1418.0,GLEN SLAUENWHITE TRAIL,AT_GW,ASPH,N,3.0,N,,GOOD,2012.0,,N,HRM,HRM,ACTIVE, ,,,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,,N,Y,,,FRIENDS OF FIRST LAKE SOCIETY,TPW_TRAILS,C,2013/07/23 00:00:00+00,,{990C79A9-3CC1-4D8E-865E-30F531047F91},8.71625185143095,7.81943080384756e-05
105971,790.0,LAKESIDE PUMP STATION DIVERSION,,CRDS,N,2.0,N,,GOOD,2014.0,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{6003FC06-C47E-48BD-84AF-B20C99BB38E7},328.709147439268,0.0024748590500927
106058,3499.0,BEDFORD SACKVILLE CONNECTOR AT GREENWAY,AT_GW,,,3.5,,,GOOD,2004.0,,N,HRM,,ACTIVE, ,,,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,2007/01/11 00:00:00+00,2007/01/11 00:00:00+00,N,N,Y,HRTAT,,SACKVILLE RIVERS ASSOCIATION,TRAILS_APR11,,,,{95BDFC4F-942E-40B9-8D51-D382F50048F8},2757.69029002945,0.0211069092859898
106099,3581.0,MOUNT HOPE AT GREENWAY,AT_GW,ASPH,,3.0,,,,2010.0,,,HRM,HRM,ACTIVE,,,2014/06/13 00:00:00+00,,,RRRDTR,,,Y,Y,N,N,ALL,,,N,,,,,,TRAILS_APR11,,,,{3CC7AAFA-D88D-49DB-9D3C-B6EEFC3286BB},688.802939956765,0.005626544602645
106145,884.0,PORTLAND LAKES AT GREENWAY,AT_GW,CRDS,N,3.0,N,,GOOD,2010.0,,N,HRM,HRM,ACTIVE,woodchip trail?,,2016/02/05 00:00:00+00,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,2007/01/09 00:00:00+00,2007/01/09 00:00:00+00,N,N,Y,Dr Hugh Millward,,Portland Estates & Hills Residents Association,TPW_TRAILS,,,Y,{E7B8A556-4480-4069-B76C-71E224E0D241},883.134797507757,0.0063529465223323
106146,888.0,PORTLAND LAKES AT GREENWAY,AT_GW,CRDS,N,3.0,Y,,GOOD,2010.0,,N,HRM,HRM,ACTIVE,WalkWay,,2016/02/05 00:00:00+00,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,2007/01/09 00:00:00+00,2007/01/09 00:00:00+00,N,N,Y,Dr Hugh Millward,,Portland Estates & Hills Residents Association,TPW_TRAILS,,,Y,{B3195967-A0F8-4DEB-AEDA-A5D7E5AB02A3},38.6920318251945,0.0003031990917281
106147,894.0,PORTLAND LAKES AT GREENWAY,AT_GW,WOOD,N,1.5,Y,,GOOD,2010.0,,N,HRM,HRM,ACTIVE,fence is rails-wood 1.1m,,2016/02/05 00:00:00+00,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,N,N,Y,Dr Hugh Millward,,Portland Estates & Hills Residents Association,TPW_TRAILS,,,,{27049D17-CF69-40E4-919D-8A23022DAA5F},120.000005498706,0.0010300123734647
106148,1420.0,GLEN SLAUENWHITE TRAIL,AT_GW,NATU,N,3.0,N,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,over grass,,,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,,N,Y,,,FRIENDS OF FIRST LAKE SOCIETY,TPW_TRAILS,C,2013/07/23 00:00:00+00,,{D99288C8-26E4-4649-AEA8-E79E9523C13E},94.2273406364893,0.0008440645651968
